Frequency - p,Frac. Tests One-Time Pooling,Batch Size - One-Time Pooling,Frac. Tests - Repeated Pooling,Initial Batch Size Repeated Pooling,5x5 Matrix,10x10 Matrix,16x16 Matrix
0.001,0.078,16,0.028,64,0.206,0.111,0.078
0.002,0.094,16,0.039,64,0.212,0.122,0.091
0.003,0.108,16,0.051,64,0.218,0.13,0.102
0.004,0.124,16,0.063,64,0.224,0.14,0.11
0.005,0.137,16,0.071,64,0.23,0.149,0.119
0.006,0.149,16,0.083,64,0.236,0.154,0.125
0.007,0.166,16,0.094,64,0.239,0.16,0.134
0.008,0.186,8,0.101,64,0.246,0.168,0.138
0.009,0.193,8,0.115,64,0.25,0.174,0.144
0.01,0.199,8,0.123,64,0.257,0.181,0.15
0.011,0.207,8,0.134,32,0.26,0.184,0.154
0.012,0.215,8,0.143,32,0.266,0.192,0.16
0.013,0.222,8,0.152,32,0.271,0.195,0.167
0.014,0.228,8,0.159,32,0.277,0.202,0.173
0.015,0.236,8,0.167,32,0.28,0.208,0.179
0.016,0.243,8,0.176,32,0.284,0.212,0.187
0.017,0.252,8,0.186,32,0.29,0.219,0.192
0.018,0.263,8,0.195,32,0.296,0.226,0.197
0.019,0.268,8,0.202,32,0.301,0.228,0.204
0.02,0.275,8,0.211,32,0.306,0.233,0.211
0.021,0.28,8,0.219,16,0.309,0.237,0.218
0.022,0.291,8,0.225,16,0.314,0.242,0.226
0.023,0.296,8,0.233,16,0.318,0.25,0.234
0.024,0.303,8,0.241,16,0.324,0.253,0.24
0.025,0.311,8,0.246,16,0.329,0.258,0.25
0.026,0.315,8,0.254,16,0.332,0.263,0.258
0.027,0.324,8,0.262,16,0.337,0.266,0.265
0.028,0.328,8,0.267,16,0.339,0.271,0.273
0.029,0.336,8,0.272,16,0.343,0.278,0.279
0.03,0.341,8,0.278,16,0.347,0.279,0.288
0.031,0.351,8,0.301,8,0.354,0.286,0.293
0.032,0.353,8,0.301,8,0.357,0.287,0.299
0.033,0.36,8,0.311,8,0.362,0.294,0.302
0.034,0.364,8,0.317,8,0.366,0.301,0.314
0.035,0.371,8,0.319,8,0.366,0.305,0.324
0.036,0.378,8,0.325,8,0.374,0.31,0.337
0.037,0.384,8,0.331,8,0.378,0.313,0.339
0.038,0.392,8,0.336,8,0.383,0.318,0.35
0.039,0.397,8,0.339,8,0.386,0.323,0.361
0.04,0.399,4,0.346,8,0.391,0.331,0.362
0.041,0.402,4,0.352,8,0.395,0.332,0.377
0.042,0.406,4,0.358,8,0.398,0.338,0.384
0.043,0.411,4,0.364,8,0.403,0.342,0.39
0.044,0.414,4,0.366,8,0.403,0.35,0.4
0.045,0.416,4,0.373,8,0.408,0.354,0.406
0.046,0.421,4,0.378,8,0.413,0.358,0.418
0.047,0.425,4,0.381,8,0.417,0.363,0.425
0.048,0.428,4,0.388,8,0.421,0.368,0.437
0.049,0.431,4,0.394,8,0.424,0.376,0.444
0.05,0.435,4,0.402,8,0.427,0.379,0.448
0.051,0.438,4,0.406,8,0.432,0.383,0.458
0.052,0.443,4,0.413,8,0.435,0.391,0.469
0.053,0.445,4,0.417,8,0.439,0.397,0.467
0.054,0.451,4,0.418,8,0.44,0.4,0.478
0.055,0.453,4,0.422,8,0.445,0.404,0.483
0.056,0.456,4,0.431,8,0.45,0.41,0.494
0.057,0.459,4,0.436,8,0.452,0.415,0.5
0.058,0.465,4,0.439,8,0.456,0.423,0.514
0.059,0.467,4,0.446,8,0.461,0.431,0.517
0.06,0.467,4,0.45,8,0.464,0.435,0.527
0.061,0.473,4,0.455,8,0.464,0.437,0.536
0.062,0.475,4,0.459,8,0.47,0.435,0.543
0.063,0.481,4,0.464,8,0.468,0.445,0.552
0.064,0.481,4,0.471,8,0.473,0.453,0.559
0.065,0.485,4,0.472,8,0.48,0.457,0.566
0.066,0.488,4,0.478,8,0.481,0.47,0.579
0.067,0.491,4,0.485,8,0.486,0.474,0.582
0.068,0.496,4,0.485,8,0.493,0.473,0.59
0.069,0.501,4,0.488,8,0.493,0.481,0.596
0.07,0.5,4,0.496,8,0.497,0.48,0.606
0.071,0.506,4,0.501,8,0.504,0.492,0.608
0.072,0.511,4,0.505,8,0.502,0.5,0.617
0.073,0.512,4,0.51,8,0.506,0.501,0.627
0.074,0.515,4,0.516,8,0.511,0.509,0.63
0.075,0.521,4,0.518,8,0.513,0.513,0.643
0.076,0.521,4,0.524,8,0.517,0.516,0.646
0.077,0.527,4,0.531,8,0.52,0.523,0.658
0.078,0.528,4,0.532,8,0.526,0.53,0.663
0.079,0.531,4,0.535,8,0.525,0.534,0.669
0.08,0.536,4,0.544,8,0.533,0.539,0.676
0.081,0.538,4,0.544,8,0.536,0.547,0.682
0.082,0.54,4,0.551,8,0.538,0.55,0.689
0.083,0.544,4,0.556,8,0.539,0.555,0.692
0.084,0.546,4,0.558,8,0.541,0.556,0.701
0.085,0.551,4,0.564,8,0.545,0.566,0.705
0.086,0.554,4,0.566,8,0.549,0.567,0.713
0.087,0.555,4,0.573,8,0.556,0.575,0.716
0.088,0.56,4,0.58,8,0.558,0.582,0.73
0.089,0.562,4,0.582,8,0.56,0.585,0.728
0.09,0.566,4,0.589,8,0.563,0.594,0.739
0.091,0.569,4,0.593,8,0.565,0.595,0.739
0.092,0.573,4,0.598,8,0.568,0.598,0.748
0.093,0.573,4,0.6,8,0.571,0.607,0.754
0.094,0.577,4,0.603,8,0.572,0.608,0.756
0.095,0.579,4,0.607,8,0.574,0.616,0.765
0.096,0.58,4,0.613,8,0.58,0.62,0.768
0.097,0.584,4,0.615,8,0.584,0.625,0.771
0.098,0.59,4,0.618,8,0.589,0.626,0.78
0.099,0.59,4,0.626,8,0.589,0.634,0.782
0.1,0.594,4,0.63,8,0.595,0.634,0.788
0.101,0.599,4,0.633,8,0.598,0.646,0.799
0.102,0.601,4,0.636,8,0.597,0.655,0.795
0.103,0.603,4,0.64,8,0.604,0.658,0.808
0.104,0.605,4,0.647,8,0.607,0.659,0.809
0.105,0.612,4,0.648,8,0.609,0.668,0.82
0.106,0.614,4,0.655,8,0.615,0.671,0.818
0.107,0.614,4,0.66,8,0.618,0.674,0.825
0.108,0.618,4,0.665,8,0.622,0.681,0.833
0.109,0.619,4,0.669,8,0.622,0.688,0.839
0.11,0.623,4,0.674,8,0.625,0.684,0.843
0.111,0.626,4,0.675,8,0.628,0.69,0.846
0.112,0.63,4,0.68,8,0.629,0.692,0.848
0.113,0.632,4,0.687,8,0.63,0.697,0.851
0.114,0.632,4,0.688,8,0.636,0.702,0.861
0.115,0.638,4,0.693,8,0.638,0.71,0.866
0.116,0.638,4,0.696,8,0.642,0.71,0.865
0.117,0.641,4,0.702,8,0.643,0.718,0.869
0.118,0.644,4,0.711,8,0.647,0.724,0.877
0.119,0.645,4,0.706,8,0.652,0.73,0.882
0.12,0.648,4,0.713,8,0.653,0.733,0.884
0.121,0.651,4,0.715,8,0.656,0.731,0.886
0.122,0.654,4,0.721,8,0.658,0.736,0.891
0.123,0.656,4,0.723,8,0.66,0.737,0.894
0.124,0.659,4,0.73,8,0.661,0.742,0.901
0.125,0.665,4,0.731,8,0.664,0.756,0.901
0.126,0.664,4,0.737,8,0.674,0.765,0.91
0.127,0.668,4,0.738,8,0.677,0.767,0.914
0.128,0.671,4,0.748,8,0.681,0.772,0.911
0.129,0.678,4,0.75,8,0.683,0.777,0.919
0.13,0.678,4,0.75,8,0.686,0.776,0.918
0.131,0.677,4,0.754,8,0.688,0.784,0.921
0.132,0.682,4,0.758,8,0.692,0.79,0.935
0.133,0.685,4,0.765,8,0.693,0.794,0.936
0.134,0.688,4,0.767,8,0.697,0.796,0.935
0.135,0.686,4,0.773,8,0.697,0.793,0.94
0.136,0.69,4,0.775,8,0.7,0.792,0.937
0.137,0.689,4,0.777,8,0.703,0.798,0.941
0.138,0.698,4,0.78,8,0.704,0.804,0.955
0.139,0.699,4,0.782,8,0.708,0.805,0.955
0.14,0.703,4,0.79,8,0.712,0.809,0.959
0.141,0.708,4,0.789,8,0.716,0.812,0.959
0.142,0.71,4,0.794,8,0.717,0.818,0.961
0.143,0.714,4,0.798,8,0.722,0.824,0.965
0.144,0.714,4,0.802,8,0.725,0.83,0.971
0.145,0.72,4,0.802,8,0.725,0.838,0.977
0.146,0.721,4,0.806,8,0.729,0.838,0.974
0.147,0.721,4,0.815,8,0.731,0.844,0.979
0.148,0.725,4,0.817,8,0.738,0.853,0.979
0.149,0.728,4,0.82,8,0.741,0.85,0.98
0.15,0.727,4,0.824,8,0.744,0.857,0.984
0.151,0.734,4,0.825,8,0.749,0.859,0.986
0.152,0.734,4,0.829,8,0.749,0.862,0.99
0.153,0.739,4,0.833,8,0.752,0.866,0.992
0.154,0.741,4,0.841,8,0.753,0.869,0.993
0.155,0.739,4,0.84,8,0.758,0.873,0.998
0.156,0.742,4,0.846,8,0.76,0.875,1.001
0.157,0.742,4,0.848,8,0.763,0.881,0.998
0.158,0.747,4,0.85,8,0.766,0.883,1.001
0.159,0.751,4,0.854,8,0.766,0.884,1.004
0.16,0.753,4,0.858,8,0.772,0.888,1.005
0.161,0.754,4,0.861,8,0.773,0.89,1.008
0.162,0.758,4,0.868,8,0.775,0.893,1.013
0.163,0.761,4,0.867,8,0.776,0.896,1.013
0.164,0.762,4,0.872,8,0.785,0.902,1.015
0.165,0.764,4,0.875,8,0.787,0.905,1.014
0.166,0.765,4,0.881,8,0.79,0.911,1.017
0.167,0.768,4,0.883,8,0.79,0.91,1.016
0.168,0.771,4,0.888,8,0.795,0.916,1.025
0.169,0.775,4,0.891,8,0.798,0.918,1.02
0.17,0.776,4,0.895,8,0.8,0.923,1.02
0.171,0.78,4,0.892,8,0.802,0.923,1.029
0.172,0.783,4,0.901,8,0.809,0.927,1.022
0.173,0.784,4,0.902,8,0.813,0.929,1.028
0.174,0.784,4,0.909,8,0.81,0.928,1.028
0.175,0.786,4,0.911,8,0.814,0.932,1.034
0.176,0.791,4,0.913,8,0.815,0.934,1.032
0.177,0.794,4,0.915,8,0.816,0.936,1.033
0.178,0.795,4,0.925,8,0.818,0.941,1.036
0.179,0.798,4,0.924,8,0.822,0.943,1.042
0.18,0.799,4,0.928,8,0.826,0.943,1.043
0.181,0.8,4,0.927,8,0.831,0.949,1.046
0.182,0.802,4,0.934,8,0.83,0.957,1.044
0.183,0.807,4,0.932,8,0.836,0.956,1.048
0.184,0.807,4,0.936,8,0.832,0.962,1.047
0.185,0.806,4,0.942,8,0.841,0.965,1.05
0.186,0.808,4,0.945,8,0.843,0.967,1.053
0.187,0.811,4,0.95,8,0.841,0.968,1.052
0.188,0.814,4,0.95,8,0.839,0.967,1.052
0.189,0.816,4,0.953,8,0.849,0.971,1.055
0.19,0.82,4,0.956,8,0.849,0.976,1.056
0.191,0.823,4,0.961,8,0.854,0.98,1.059
0.192,0.824,4,0.96,8,0.857,0.982,1.059
0.193,0.826,4,0.966,8,0.857,0.983,1.06
0.194,0.828,4,0.971,8,0.867,0.985,1.063
0.195,0.829,4,0.971,8,0.867,0.985,1.064
0.196,0.834,4,0.974,8,0.871,0.989,1.066
0.197,0.835,4,0.979,8,0.87,0.991,1.066
0.198,0.836,4,0.978,8,0.875,0.991,1.067
0.199,0.838,4,0.984,8,0.876,1,1.068
0.2,0.842,4,0.986,8,0.88,0.998,1.07
