Frequency - p,Frac. Tests  (One-Time Pooling),Optimal Batch Size (One-Time Pooling), Batch Size Used (One-Time Pooling),Frac. Tests (Repeated Pooling),Optimal Batch Size (Repeated Pooling),Batch Size Used  (Repeated Pooling),Repeated Pooling Theory,Entropy
0.001,0.061114,32.127,32,0.01944,692.8,512,0.018358,0.011408
0.002,0.085715,22.867,23,0.035843,346.23,256,0.032956,0.020814
0.003,0.10901,18.765,19,0.045791,230.7,128,0.046141,0.029464
0.004,0.12596,16.321,16,0.059807,172.94,128,0.058411,0.037622
0.005,0.13901,14.653,15,0.076009,138.28,128,0.070001,0.045415
0.006,0.15048,13.422,13,0.082526,115.18,64,0.081051,0.052915
0.007,0.16331,12.465,12,0.092708,98.674,64,0.091652,0.060172
0.008,0.17598,11.694,12,0.10117,86.296,64,0.10187,0.067222
0.009,0.18412,11.056,11,0.11412,76.669,64,0.11175,0.074088
0.01,0.19788,10.516,11,0.12195,68.968,64,0.12134,0.080793
0.011,0.20511,10.052,10,0.13552,62.666,32,0.13066,0.087352
0.012,0.21356,9.6469,10,0.14351,57.415,32,0.13973,0.093778
0.013,0.22256,9.2898,9,0.15005,52.972,32,0.14859,0.10008
0.014,0.2285,8.9717,9,0.15822,49.163,32,0.15723,0.10627
0.015,0.23735,8.686,9,0.1702,45.862,32,0.16569,0.11236
0.016,0.24741,8.4277,8,0.17847,42.974,32,0.17398,0.11835
0.017,0.25525,8.1926,8,0.18449,40.426,32,0.18209,0.12425
0.018,0.2621,7.9774,8,0.19331,38.161,32,0.19005,0.13006
0.019,0.26682,7.7795,8,0.20251,36.134,32,0.19787,0.13579
0.02,0.27334,7.5966,8,0.21064,34.31,32,0.20554,0.14144
0.021,0.28268,7.4271,7,0.22463,32.659,32,0.21308,0.14702
0.022,0.28591,7.2693,7,0.22587,31.159,16,0.22049,0.15253
0.023,0.28933,7.122,7,0.23323,29.789,16,0.22779,0.15797
0.024,0.2973,6.984,7,0.23952,28.533,16,0.23497,0.16335
0.025,0.30598,6.8544,7,0.24869,27.378,16,0.24204,0.16866
0.026,0.31062,6.7324,7,0.25303,26.311,16,0.249,0.17392
0.027,0.31702,6.6173,7,0.25823,25.324,16,0.25586,0.17912
0.028,0.32587,6.5085,7,0.26568,24.407,16,0.26262,0.18426
0.029,0.328,6.4054,6,0.27582,23.553,16,0.26929,0.18935
0.03,0.33434,6.3075,6,0.27944,22.757,16,0.27587,0.19439
0.031,0.33844,6.2145,6,0.29156,22.011,16,0.28236,0.19938
0.032,0.34286,6.1258,6,0.29175,21.312,16,0.28876,0.20432
0.033,0.34863,6.0413,6,0.30157,20.656,16,0.29509,0.20922
0.034,0.35318,5.9606,6,0.30362,20.038,16,0.30133,0.21407
0.035,0.36052,5.8834,6,0.3139,19.456,16,0.30749,0.21888
0.036,0.3664,5.8094,6,0.32208,18.905,16,0.31358,0.22364
0.037,0.37093,5.7385,6,0.32591,18.385,16,0.31959,0.22836
0.038,0.37542,5.6705,6,0.33175,17.892,16,0.32553,0.23305
0.039,0.38139,5.6051,6,0.33959,17.424,16,0.33141,0.23769
0.04,0.38301,5.5422,6,0.33896,16.98,16,0.33721,0.24229
0.041,0.38931,5.4816,5,0.35146,16.557,16,0.34295,0.24686
0.042,0.39333,5.4233,5,0.35906,16.154,16,0.34862,0.25139
0.043,0.39955,5.367,5,0.36488,15.771,8,0.35423,0.25588
0.044,0.40026,5.3127,5,0.368,15.404,8,0.35978,0.26034
0.045,0.40555,5.2603,5,0.36693,15.054,8,0.36527,0.26477
0.046,0.41059,5.2095,5,0.37322,14.719,8,0.3707,0.26916
0.047,0.41487,5.1605,5,0.37897,14.398,8,0.37607,0.27351
0.048,0.41888,5.113,5,0.38222,14.091,8,0.38139,0.27784
0.049,0.42431,5.067,5,0.38817,13.796,8,0.38665,0.28213
0.05,0.4262,5.0224,5,0.39757,13.513,8,0.39185,0.2864
0.051,0.42843,4.9791,5,0.40003,13.242,8,0.397,0.29063
0.052,0.43432,4.9372,5,0.40244,12.98,8,0.4021,0.29483
0.053,0.43973,4.8964,5,0.40943,12.729,8,0.40715,0.29901
0.054,0.44129,4.8568,5,0.41301,12.486,8,0.41215,0.30315
0.055,0.44435,4.8183,5,0.41735,12.253,8,0.4171,0.30727
0.056,0.45091,4.7809,5,0.41903,12.028,8,0.422,0.31136
0.057,0.45504,4.7444,5,0.42801,11.811,8,0.42685,0.31542
0.058,0.45571,4.709,5,0.43644,11.601,8,0.43165,0.31945
0.059,0.46193,4.6745,5,0.43753,11.398,8,0.43641,0.32346
0.06,0.462,4.6408,5,0.44255,11.202,8,0.44113,0.32744
0.061,0.4679,4.608,5,0.44534,11.013,8,0.44579,0.3314
0.062,0.47192,4.5761,5,0.45302,10.83,8,0.45042,0.33533
0.063,0.47545,4.5449,5,0.45816,10.652,8,0.455,0.33924
0.064,0.48194,4.5145,5,0.46266,10.48,8,0.45954,0.34312
0.065,0.48402,4.4848,4,0.46581,10.313,8,0.46403,0.34698
0.066,0.49241,4.4557,4,0.46948,10.152,8,0.46849,0.35082
0.067,0.4893,4.4274,4,0.47612,9.9949,8,0.4729,0.35463
0.068,0.4955,4.3997,4,0.48319,9.8427,8,0.47727,0.35842
0.069,0.4985,4.3727,4,0.48238,9.6949,8,0.48161,0.36218
0.07,0.50541,4.3462,4,0.49282,9.5513,8,0.4859,0.36592
0.071,0.50714,4.3203,4,0.48683,9.4118,8,0.49016,0.36964
0.072,0.50885,4.295,4,0.49719,9.2762,8,0.49438,0.37334
0.073,0.50811,4.2702,4,0.50119,9.1442,8,0.49855,0.37702
0.074,0.51492,4.2459,4,0.50578,9.0158,8,0.5027,0.38068
0.075,0.51848,4.2222,4,0.50416,8.8909,8,0.5068,0.38431
0.076,0.5212,4.1989,4,0.51739,8.7692,8,0.51087,0.38793
